base,model name,"Total 
Params (B)","Active
Params (B)","n-grams
Params (B)","model 
size (GB)","Weights
Quantization","KV cache
quantization",engine,"Nb
GPU",License,Model ref,Score /100,Duration,Requests,req/pts,in Mtok,out Mtok,"total
TG/s ","parallel
tasks","TG/s per
task","total
cost $","gen tok
/req"
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,31,FP8,FP8,SGLANG,1,Apache 2.0,ST-gemma-4-31B-it-FP8-dynamic_31GB_SGLANG_1GPU_96,71,01:22:05,3250,46,47,"1,02",207,5,41,"0,19",314
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,31,FP8,FP8,SGLANG,2,Apache 2.0,ST-gemma-4-31B-it-FP8-dynamic_31GB_SGLANG_2GPU_48,72,01:15:42,3250,45,50,"0,97",214,5,43,"0,18",298
Gemma-4-31B-it,Gemma-4-31B-it,31,31,0,18,NVFP4,BF16,vLLM,1,Apache 2.0,ST-gemma-4-31B-it-NVFP4-turbo_18GB_vLLM_1GPU_96,70,01:02:16,3318,47,53,"1,00",268,5,54,"0,15",301
,,,,,,,,,,,,,,,,,,,,,,
Qwen3.5-122B-A10B,Qwen3.5-122B-A10B,122,10,0,76,NVFP4,BF16,vLLM,1,Apache 2.0,ST-Qwen3.5-122B-A10B-NVFP4_77GB_vLLM_1GPU_96,68,03:45:49,7696,113,223,"1,68",124,5,25,"0,53",218
,,,,,,,,,,,,,,,,,,,,,,
Qwen3.8-Flash-Next,Qwen3.8-Flash-Next-medium,125,6,51,127,NVFP4,FP8,SGLANG,1,Qwen Community License 1.0,ST-Qwen3.8-Flash-Next-NVFP4_127GB_SGLANG_1GPU_96,91,01:03:56,2653,29,44,"0,88",229,4,57,"0,15",332
Qwen3.8-Flash-Next,Qwen3.8-Flash-Next-NVFP4-uncensored,125,6,51,127,NVFP4,FP8,SGLANG,1,Qwen Community License 1.0,ST-Qwen3.8-Flash-Next-NVFP4-uncensored_125GB_SGLANG_1GPU_96,76,00:48:13,2484,33,49,"1,00",346,4,86,"0,11",403
Qwen3.8-Flash-Next,Qwen3.8-Flash-Next-xhigh,125,6,51,127,NVFP4,FP8,SGLANG,1,Qwen Community License 1.0,ST-Qwen3.8-Flash-Next-NVFP4_127GB_SGLANG_1GPU_96,91,01:39:59,3639,40,90,"1,67",278,4,70,"0,23",459
,,,,,,,,,,,,,,,,,,,,,,
MiniMax-M2.7,MiniMax-M2.7,230,10,0,131,Q4_K_M,BF16,llama.cpp,3,Non-commercial MIT,GGUF-MiniMax-M2.7-Q4_K_M_130GB_3GPU_local,79,06:25:00,4079,52,72,"1,10",48,1,48,"0,90",270
MiniMax-M2.7,MiniMax-M2.7,230,10,0,131,Q4_K_M,Q8_0,llama.cpp,3,Non-commercial MIT,GGUF-MiniMax-M2.7-Q4_K_M_130GB_3GPU_local,79,07:18:49,3935,50,68,"1,14",43,1,43,"1,02",290
,,,,,,,,,,,,,,,,,,,,,,
Deepseek v4 flash,Deepseek v4 flash 3107 high,284,13,0,145,MXFP4,BF16,llama.cpp,3,MIT ,GGUF-DeepSeek-V4-Flash-0731-MXFP4_145GB_3GPU_local,81,04:44:12,2714,34,62,"1,07",63,1,63,"0,66",394
Deepseek v4 flash,Deepseek v4 flash 3107 high,284,13,0,145,MXFP4,BF16,llama.cpp,3,MIT ,GGUF-DeepSeek-V4-Flash-0731-MXFP4_145GB_3GPU_local,81,04:33:35,2747,34,56,"1,02",62,1,62,"0,64",371
Deepseek v4 flash,Deepseek v4 flash 3107 high HuiHui abliterated,284,13,0,145,MXFP4,BF16,llama.cpp,3,MIT ,GGUF-Huihui-DeepSeek-V4-Flash-0731-abliterated-MXFP4_145GB_3GPU_local,80,05:25:44,2925,37,66,"1,27",65,1,65,"0,76",434
Deepseek v4 flash,Deepseek v4 flash 3107 high HuiHui abliterated,284,13,0,145,MXFP4,BF16,llama.cpp,3,MIT ,GGUF-Huihui-DeepSeek-V4-Flash-0731-abliterated-MXFP4_145GB_3GPU_local,80,06:39:20,3195,40,84,"1,51",63,1,63,"0,93",473
Deepseek v4 flash,Deepseek v4 flash 3107 high,284,13,0,90,Q2_K_XL,BF16,llama.cpp,3,MIT ,GGUF-DeepSeek-V4-Flash-0731-Q2_K_XL_90GB_3GPU_local,92,06:48:37,4606,50,138,"1,49",61,1,61,"0,95",323
Deepseek v4 flash,Deepseek v4 flash 3107 high,284,13,0,90,Q2_K_XL,BF16,llama.cpp,3,MIT ,GGUF-DeepSeek-V4-Flash-0731-Q2_K_XL_90GB_3GPU_local,92,09:07:25,4649,51,135,"1,47",45,1,45,"1,28",316
Deepseek v4 flash,Deepseek v4 flash 3107 high,284,13,0,119,Q3_K_XL,BF16,llama.cpp,3,MIT ,GGUF-DeepSeek-V4-Flash-0731-Q3_K_XL_119GB_3GPU_local,90,05:50:00,3793,42,98,"1,34",64,1,64,"0,82",353
Deepseek v4 flash,Deepseek v4 flash 3107 high,284,13,0,150,Q8_K_XL,BF16,llama.cpp,3,MIT ,GGUF-DeepSeek-V4-Flash-0731-Q8_K_XL_150GB_3GPU_local,90,06:25:20,3748,42,92,"1,3",56,1,56,"0,90",347
,,,,,,,,,,,,,,,,,,,,,,
Hy3,Hy3,295,21,0,?,?,?,API,n/a,Apache 2.0,openrouter/tencent/hy3:free,70,01:14:45,2516,36,41,"0,82",183,5,37,,326
Hy3,Hy3,295,21,0,?,?,?,API,n/a,Apache 2.0,openrouter/tencent/hy3:free,70,01:09:26,2676,38,40,"0,62",149,5,30,,232
Hy3,Hy3,295,21,0,110,IQ3_XXS,Q8_0,llama.cpp,3,Apache 2.0,GGUF-Hy3-IQ3_XXS_109GB_3GPU_local,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MiMo-V2.5,MiMo-V2.5,310,15,0,310,FP8,?,API,n/a,MIT ,openrouter/xiaomi/mimo-v2.5,70,02:00:32,4308,62,136,"2,07",286,5,57,"2,20",481
MiMo-V2.5,MiMo-V2.5,310,15,0,310,Q3_K_XL,Q8_0,llama.cpp,3,MIT ,GGUF-MiMo-V2.5-Q3_K_XL_138GB_3GPU_local,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GLM 5.2,GLM 5.2,753,40,0,756,FP8,?,API,n/a,MIT ,openrouter/z-ai/glm-5.2,80,02:22:57,3463,43,74,"1,03",120,5,24,"18,50",297
GLM 5.2,GLM 5.2,753,40,0,756,FP8,?,API,n/a,MIT ,openrouter/z-ai/glm-5.2,80,02:03:07,3261,41,62,"0,99",134,5,27,"7,44",304
Deepseek v4 pro,Deepseek v4 pro,1600,49,0,865,FP8,?,API,n/a,MIT ,openrouter/deepseek/deepseek-v4-pro,80,01:19:50,4024,50,112,"1,4",292,5,58,"2,45",348
Deepseek v4 pro,Deepseek v4 pro,1600,49,0,865,FP8,?,API,n/a,MIT ,openrouter/deepseek/deepseek-v4-pro,80,01:29:00,4084,51,113,"1,45",272,5,54,"2,38",355
Qwen 3.7 max,Qwen 3.7 max,?,?,?,?,?,?,API,n/a,proprietary,openrouter/qwen/qwen3.7-max,70,02:36:27,5599,80,123,"1,8",192,5,38,"60,70",321
